num,code,name,typecode,type
521,241560,두산밥캣,116409,기타 금융업
522,042670,두산인프라코어,32902,특수 목적용 기계 제조업
523,034020,두산중공업,32901,일반 목적용 기계 제조업
524,016740,두올,33003,자동차 신품 부품 제조업
525,078590,두올산업,33003,자동차 신품 부품 제조업
526,270020,두원석재,20701,토사석 광업
527,073190,듀오백,33201,가구 제조업
528,176750,듀켐바이오,32102,의약품 제조업
529,030350,드래곤플라이,105802,소프트웨어 개발 및 공급업
530,203650,드림시큐리티,105802,소프트웨어 개발 및 공급업
531,192650,드림텍,32602,전자부품 제조업
532,220110,드림티엔터테인먼트,137309,"그외 기타 전문, 과학 및 기술 서비스업"
533,217620,디딤,95601,음식점업
534,187870,디바이스이엔지,32902,특수 목적용 기계 제조업
535,066670,디스플레이텍,32602,전자부품 제조업
536,024090,디씨엠,32401,1차 철강 제조업
537,003160,디아이,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
538,092200,디아이씨,33003,자동차 신품 부품 제조업
539,110990,디아이티,32902,특수 목적용 기계 제조업
540,263690,디알젬,32701,의료용 기기 제조업
541,214680,디알텍,32701,의료용 기기 제조업
542,263720,디앤씨미디어,105801,"서적, 잡지 및 기타 인쇄물 출판업"
543,109740,디에스케이,32902,특수 목적용 기계 제조업
544,033430,디에스티,32902,특수 목적용 기계 제조업
545,090710,디에스티로봇,32902,특수 목적용 기계 제조업
546,131030,디에이치피코리아,32102,의약품 제조업
547,196490,디에이테크놀로지,32902,특수 목적용 기계 제조업
548,066900,디에이피,32602,전자부품 제조업
549,127120,디엔에이링크,137001,자연과학 및 공학 연구개발업
550,092070,디엔에프,32004,기타 화학제품 제조업
551,101000,디엠씨,32902,특수 목적용 기계 제조업
552,134580,디엠티,32604,통신 및 방송 장비 제조업
554,013570,디와이,116409,기타 금융업
555,210540,디와이파워,32902,특수 목적용 기계 제조업
556,079810,디이엔티,32902,특수 목적용 기계 제조업
558,113810,디젠스,33003,자동차 신품 부품 제조업
559,043360,디지아이,32603,컴퓨터 및 주변장치 제조업
560,197140,디지캡,105802,소프트웨어 개발 및 공급업
561,106520,디지탈옵틱,32703,사진장비 및 광학기기 제조업
562,068930,디지털대성,168505,일반 교습 학원
563,033130,디지틀조선,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
564,033310,디케이디앤아이,32509,기타 금속 가공제품 제조업
565,105740,디케이락,32901,일반 목적용 기계 제조업
566,263020,디케이앤디,32202,플라스틱제품 제조업
567,290550,디케이티,32602,전자부품 제조업
568,007340,디티알오토모티브,32802,일차전지 및 축전지 제조업
569,187220,디티앤씨,137209,기타 과학기술 서비스업
570,026890,디피씨,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
571,163430,디피코,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업"
572,131180,딜리,32603,컴퓨터 및 주변장치 제조업
573,042510,라온시큐어,105802,소프트웨어 개발 및 공급업
574,232680,라온테크,32902,특수 목적용 기계 제조업
575,050120,라이브플렉스,74604,생활용품 도매업
576,171120,라이온켐텍,32004,기타 화학제품 제조업
577,069540,라이트론,32604,통신 및 방송 장비 제조업
578,285770,라이프사이언스테크놀로지,105802,소프트웨어 개발 및 공급업
579,115390,락앤락,32202,플라스틱제품 제조업
580,200350,래몽래인,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
581,171010,램테크놀러지,32001,기초 화학물질 제조업
582,084650,랩지노믹스,137001,자연과학 및 공학 연구개발업
583,217500,러셀,32902,특수 목적용 기계 제조업
584,092590,럭스피아,32601,반도체 제조업
585,141080,레고켐바이오,137001,자연과학 및 공학 연구개발업
586,060300,레드로버,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
587,038390,레드캡투어,147502,여행사 및 기타 여행보조 서비스업
588,228850,레이언스,32701,의료용 기기 제조업
589,238120,로고스바이오,32703,사진장비 및 광학기기 제조업
590,215100,로보로보,32809,기타 전기장비 제조업
591,090360,로보스타,32902,특수 목적용 기계 제조업
592,238500,로보쓰리,137309,"그외 기타 전문, 과학 및 기술 서비스업"
593,108490,로보티즈,32902,특수 목적용 기계 제조업
594,900260,로스웰,116409,기타 금융업
595,067730,로지시스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
596,071280,로체시스템즈,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
597,032350,롯데관광개발,147502,여행사 및 기타 여행보조 서비스업
598,000400,롯데손해보험,116501,보험업
599,023530,롯데쇼핑,74701,종합 소매업
600,004000,롯데정밀화학,32001,기초 화학물질 제조업
601,286940,롯데정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
602,280360,롯데제과,31007,기타 식품 제조업
603,004990,롯데지주,116409,기타 금융업
604,005300,롯데칠성음료,31102,비알코올음료 및 얼음 제조업
605,011170,롯데케미칼,32001,기초 화학물질 제조업
606,002270,롯데푸드,31005,낙농제품 및 식용빙과류 제조업
607,071840,롯데하이마트,74703,가전제품 및 정보통신장비 소매업
608,038060,루멘스,32601,반도체 제조업
609,082800,루미마이크로,32601,반도체 제조업
610,162120,루켄테크놀러지스,32809,기타 전기장비 제조업
611,085370,루트로닉,32701,의료용 기기 제조업
612,060240,룽투코리아,105802,소프트웨어 개발 및 공급업
613,058470,리노공업,32602,전자부품 제조업
614,039980,리노스,74704,"섬유, 의복, 신발 및 가죽제품 소매업"
615,016100,리더스코스메틱,32004,기타 화학제품 제조업
616,197210,리드,32902,특수 목적용 기계 제조업
617,012700,리드코프,74607,기타 전문 도매업
618,302550,리메드,32701,의료용 기기 제조업
